kanji;kana;english;class
クーラー;くーらー;air conditioner (cooling);Noun
失礼;しつれい;rudeness, to excuse oneself;Verbal Noun
洗濯機;せんたくき;washing machine, washer;Noun
豆腐;とうふ;tofu;Noun
昼寝;ひるね;nap;Verbal Noun
不便;ふべん;inconvenient;Adjectival Noun
ミルク;みるく;milk (loan word);Noun
向こう側;むこうがわ;other side;Noun
億;おく;hundred million;Noun
お礼;おれい;thanks, gratitude;Verbal Noun
着せる;きせる;dress (someone);Verb
サラダ;さらだ;salad;Noun
代える;かえる;substitute for;Verb
四角;しかく;square;Adjectival Noun
急行;きゅうこう;express train;Noun
交差点;こうさてん;crossing, intersection;Noun
覚める;さめる;awake, wake up (naturally);Verb
昼休み;ひるやすみ;lunch break;Noun
ベルト;べると;belt;Noun
真っ黒;まっくろ;black, jet-black;Adjectival Noun
皆様;みなさま;everyone, ladies and gentlemen;Noun
ラーメン;らーめん;ramen (Chinese noodles);Noun
ライター;らいたー;lighter;Noun
ワイシャツ;わいしゃつ;business shirt, dress shirt;Noun
転ぶ;ころぶ;fall down, fall over;Verb
シャワー;しゃわー;shower;Noun
扇風機;せんぷうき;electric fan;Noun
遅刻;ちこく;tardiness, lateness;Verbal Noun
釣る;つる;fish, catch;Verb
うどん;うどん;Japanese wheat noodles;Noun
仮名;かな;kana;Noun
記念日;きねんび;memorial day, anniversary;Noun
下り;くだり;going down, going away from a central place;Noun
掲示板;けいじばん;notice board, bulletin board;Noun
凍る;こおる;freeze;Verb
ごみ;ごみ;trash;Noun
スーパーマーケット;すーぱーまーけっと;supermarket;Noun
ぶらぶら;ぶらぶら;aimlessly, idly;Adverb
アナウンサー;あなうんさー;announcer;Noun
自炊;じすい;cooking (for oneself);Verbal Noun
止める;とめる;stop (something/someone);Verb
年下;としした;younger, junior;Noun
治す;なおす;cure (something);Verb
箸;はし;chopsticks;Noun
花見;はなみ;flower viewing;Noun
引き出し;ひきだし;drawer;Noun
訳;やく;translation;Noun
いかが;いかが;how (polite);Adverb
交通費;こうつうひ;traveling expense, transportation fee;Noun
ステレオ;すてれお;stereo;Noun
再会;さいかい;meeting again, reunion;Verbal Noun
滑る;すべる;slide, slip;Verb
早口;はやくち;speaking fast;Noun
裏返す;うらがえす;turn over, turn inside out;Verb
角;かど;corner, edge;Noun
きらきら;きらきら;sparkling, glittering;Adverb
三角;さんかく;figure, area etc. with three points or angles, triangle;Noun
激しい;はげしい;violent, intense;Adjective
経営;けいえい;management, operation;Verbal Noun
拡大;かくだい;magnification, enlargement;Verbal Noun
姿勢;しせい;posture, position;Noun
周辺;しゅうへん;area, region;Noun
他;た;other (Chinese origin);Noun
達する;たっする;attain, reach;Verb
当時;とうじ;at that time;Noun
当然;とうぜん;natural, as a matter of course;Adjectival Noun
能力;のうりょく;capability, capacity, ability;Noun
判断;はんだん;judgment, decision;Verbal Noun
過ぎる;すぎる;pass by, go past;Verb
正確;せいかく;accurate, precise;Adjectival Noun
戦争;せんそう;war between countries;Verbal Noun
放送;ほうそう;broadcasting;Verbal Noun
習慣;しゅうかん;custom, habit;Noun
フィルム;ふぃるむ;film;Noun
受け付ける;うけつける;receive, accept;Verb
ダンス;だんす;dance, dancing (loan word);Verbal Noun
こんなに;こんなに;this much, such;Adverb
吹く;ふく;blow, play (a wind instrument);Verb
まあ;まあ;well (interjection);Interjection
メール;めーる;e-mail;Verbal Noun
インターネット;いんたーねっと;Internet;Noun
出身;しゅっしん;come from, origin;Noun
職業;しょくぎょう;occupation, job;Noun
スター;すたー;star;Noun
くだらない;くだらない;worthless, trifling;Adjective
名簿;めいぼ;name list;Noun
通常;つうじょう;common, usually, typically;Noun
家内;かない;one's wife;Noun
消防署;しょうぼうしょ;fire station;Noun
再び;ふたたび;again, a second time;Adverb
大統領;だいとうりょう;president (of a country);Noun
入場券;にゅうじょうけん;entrance ticket;Noun
ネックレス;ねっくれす;necklace;Noun
パジャマ;ぱじゃま;pajamas;Noun
ボールペン;ぼーるぺん;ballpoint pen;Noun
かゆい;かゆい;itchy;Adjective
覚ます;さます;awaken, wake up;Verb
すいか;すいか;watermelon;Noun
そば;そば;buckwheat noodles;Noun
特急;とっきゅう;super-express, limited express;Noun
のり;のり;glue, starch;Noun
大抵;たいてい;generally, mostly;Adverb
バスケットボール;ばすけっとぼーる;basketball;Noun
酔っ払う;よっぱらう;get drunk;Verb
どきどき;どきどき;thumping, in a pounding manner;Adverb
欲しがる;ほしがる;want, desire (of the third person);Verb
早起き;はやおき;getting up early;Verbal Noun
味噌汁;みそしる;miso soup;Noun
読み方;よみかた;how to read, way of reading;Noun
入り口;いりぐち;entrance;Noun
降ろす;おろす;unload, set down;Verb
掛かる;かかる;hang;Verb
サンドイッチ;さんどいっち;sandwich;Noun
四角い;しかくい;square-shaped;Adjective
突き当たる;つきあたる;run into, come to the end (of a road);Verb
乾かす;かわかす;dry (something);Verb
定期券;ていきけん;commuter pass;Noun
にこにこ;にこにこ;smilingly, keep smiling;Adverb
下る;くだる;go down, go away from;Verb
ウール;うーる;wool;Noun
コーラ;こーら;cola, coke;Noun
トイレットペーパー;といれっとぺーぱー;toilet paper;Noun
乗り換え;のりかえ;transfer, change (trains);Verbal Noun
灰皿;はいざら;ashtray;Noun
ハム;はむ;ham;Noun
床;ゆか;floor;Noun
ローマ字;ろーまじ;Roman alphabet;Noun
いちご;いちご;strawberry;Noun
カレーライス;かれーらいす;curry rice;Noun
キャッシュカード;きゃっしゅかーど;cash card;Noun
停留所;ていりゅうじょ;(bus) stop;Noun
床屋;とこや;barber, barbershop;Noun
歯磨き;はみがき;brushing one's teeth;Noun
夕飯;ゆうはん;evening meal, dinner;Noun
酔っ払い;よっぱらい;drunkard, drunk;Noun
例;れい;example;Noun
お辞儀;おじぎ;bow;Verbal Noun
横断歩道;おうだんほどう;pedestrian crossing, crosswalk;Noun
ぐらぐら;ぐらぐら;shaky, unstable;Adverb
航空便;こうくうびん;airmail, airfreight;Noun
ジャム;じゃむ;jam;Noun
スリッパ;すりっぱ;slippers;Noun
畳む;たたむ;fold, shut, close;Verb
トランプ;とらんぷ;playing cards;Verbal Noun
日陰;ひかげ;shade of the sun;Noun
文房具;ぶんぼうぐ;stationery, writing materials;Noun
免許証;めんきょしょう;license;Noun
訳す;やくす;translate;Verb
よろしい;よろしい;all right;Adjective
両替;りょうがえ;money exchange;Verbal Noun
片づく;かたづく;be put in order, be finished;Verb
カップ;かっぷ;cup;Noun
消しゴム;けしごむ;eraser;Noun
スケート;すけーと;skate, skates;Noun
鍋;なべ;pan;Noun
寝坊;ねぼう;oversleeping;Verbal Noun
鋏;はさみ;scissors;Noun
真っ青;まっさお;deep-blue, pale;Adjectival Noun
汚す;よごす;make (something) dirty;Verb
忘れ物;わすれもの;something left behind, lost item;Noun
掛け算;かけざん;multiplication;Verbal Noun
臭い;くさい;stinky;Adjective
突き当たり;つきあたり;end of a street;Noun
マフラー;まふらー;scarf, muffler;Noun
桃;もも;peach;Noun
