kanji;kana;english;class
ボート;ぼーと; small craft;Noun
燃える;もえる;burn;Verb
燃える;もえる; catch on fire;Verb
巻く;まく;roll up;Verb
巻く;まく; wrap;Verb
プラスチック;ぷらすちっく;plastic;Noun
訪れる;おとずれる;go and visit (place);Verb
破る;やぶる;tear;Verb
破る;やぶる; breach;Verb
関係;かんけい;relation;Verbal Noun
関係;かんけい; relationship;Verbal Noun
不幸;ふこう;unhappiness;Adjectival Noun
不幸;ふこう; misfortune;Adjectival Noun
録音;ろくおん;(sound) recording;Verbal Noun
外国語;がいこくご;foreign language;Noun
着物;きもの;traditional Japanese clothes;Noun
牛乳;ぎゅうにゅう;milk;Noun
救急車;きゅうきゅうしゃ;ambulance;Noun
果物;くだもの;fruit;Noun
間違い;まちがい;mistake;Noun
間違い;まちがい; error;Noun
映画館;えいがかん;movie theater;Noun
怖い;こわい;scary;Adjective
怖い;こわい; be afraid;Adjective
鏡;かがみ;mirror;Noun
草;くさ;grass;Noun
草;くさ; weed;Noun
敬語;けいご;polite speech;Noun
欠席;けっせき;absence (from school;Verbal Noun
欠席;けっせき; a gathering;Verbal Noun
欠席;けっせき; etc.);Verbal Noun
スイッチ;すいっち;switch;Noun
掃除;そうじ;cleaning;Verbal Noun
畳;たたみ;straw mat;Noun
速さ;はやさ;speed;Noun
林;はやし;woods;Noun
林;はやし; forest;Noun
プレゼント;ぷれぜんと;present (loan word);Verbal Noun
弁当;べんとう;boxed lunch;Noun
いつでも;いつでも;at all times;Adverb
いつでも;いつでも; any time;Adverb
寂しい;さびしい;lonely;Adjective
寂しい;さびしい; desolate;Adjective
少しも;すこしも;(not) in the least;Adverb
尊敬;そんけい;respect;Verbal Noun
尊敬;そんけい; esteem;Verbal Noun
テニス;てにす;tennis;Verbal Noun
広さ;ひろさ;area;Noun
広さ;ひろさ; extent;Noun
読み;よみ;reading;Noun
我慢;がまん;patience;Verbal Noun
我慢;がまん; endurance;Verbal Noun
国籍;こくせき;nationality;Noun
国籍;こくせき; citizenship;Noun
恥ずかしい;はずかしい;embarrassed;Adjective
恥ずかしい;はずかしい; ashamed;Adjective
ボタン;ぼたん;button;Noun
洋服;ようふく;(western-style) clothes;Noun
油;あぶら;oil;Noun
おかしい;おかしい;funny;Adjective
おかしい;おかしい; comical;Adjective
余る;あまる;remain;Verb
余る;あまる; be in excess;Verb
コート;こーと;sports court;Noun
正直;しょうじき;honest;Adjectival Noun
正直;しょうじき; upright;Adjectival Noun
ドラマ;どらま;drama;Noun
ビザ;びざ;visa;Noun
水道;すいどう;water service;Noun
水道;すいどう; channel;Noun
店員;てんいん;clerk;Noun
店員;てんいん; salesperson;Noun
電池;でんち;battery;Noun
ポケット;ぽけっと;pocket;Noun
握手;あくしゅ;handshake;Verbal Noun
そろそろ;そろそろ;soon;Adverb
そろそろ;そろそろ; it's about time;Adverb
ぶどう;ぶどう;grapes;Noun
迷う;まよう;get lost;Verb
見物;けんぶつ;sightseeing;Verbal Noun
見物;けんぶつ; visit;Verbal Noun
知らせる;しらせる;let know;Verb
知らせる;しらせる; inform;Verb
神社;じんじゃ;Shinto shrine;Noun
注射;ちゅうしゃ;injection;Verbal Noun
注射;ちゅうしゃ; shot;Verbal Noun
めったに;めったに;rarely;Adverb
めったに;めったに; seldom;Adverb
作文;さくぶん;composition;Noun
作文;さくぶん; essay;Noun
鳴る;なる;sound;Verb
鳴る;なる; ring;Verb
